,LT,MT,RT,LM,MM,RM,LB,MB,RB,Result,predictions
442,0,b,x,0,b,x,b,b,x,positive,negative
27,x,x,x,0,0,b,x,b,0,positive,negative
220,x,0,b,b,x,b,b,0,x,positive,positive
285,x,b,b,0,x,x,0,0,x,positive,positive
196,x,0,b,x,0,0,x,x,b,positive,positive
296,0,x,x,x,0,x,0,0,x,positive,negative
734,x,b,b,x,b,x,0,0,0,negative,negative
753,0,x,x,0,0,x,x,b,0,negative,negative
206,x,0,b,0,x,x,0,b,x,positive,positive
504,b,x,0,0,x,b,x,x,0,positive,positive
354,0,x,b,0,x,b,b,x,b,positive,positive
340,0,x,0,b,x,b,0,x,x,positive,positive
539,b,0,x,0,x,b,x,x,0,positive,positive
165,x,0,0,x,b,0,x,b,x,positive,positive
280,x,b,b,x,0,b,x,0,b,positive,positive
288,x,b,b,0,x,0,b,b,x,positive,positive
502,b,x,0,0,x,0,x,x,b,positive,positive
722,x,b,0,x,0,b,0,x,b,negative,negative
245,x,b,0,x,x,b,0,0,x,positive,positive
690,x,0,0,x,0,x,0,x,b,negative,negative
533,b,0,x,0,x,x,x,0,b,positive,positive
875,0,b,b,0,x,b,0,x,x,negative,positive
482,0,b,b,b,b,0,x,x,x,positive,positive
588,b,b,x,x,0,x,0,0,x,positive,positive
232,x,b,x,0,0,x,0,b,x,positive,negative
462,0,b,0,x,x,x,b,0,x,positive,positive
673,x,0,x,x,0,x,b,0,0,negative,positive
229,x,b,x,0,x,0,b,0,x,positive,positive
12,x,x,x,0,x,0,0,x,0,positive,negative
605,b,b,x,b,0,x,b,0,x,positive,positive
762,0,x,x,0,b,x,0,b,b,negative,negative
428,0,b,x,x,0,x,b,0,x,positive,positive
620,b,b,b,x,x,x,0,b,0,positive,positive
366,0,0,x,x,x,x,0,0,x,positive,positive
725,x,b,0,0,x,0,x,x,0,negative,positive
823,0,0,0,x,b,x,x,0,x,negative,positive
526,b,0,x,x,x,x,0,b,0,positive,positive
100,x,x,b,x,0,0,x,0,b,positive,positive
349,0,x,b,x,x,b,0,x,0,positive,negative
486,b,x,x,0,x,0,b,x,0,positive,positive
106,x,x,b,0,x,0,b,x,0,positive,positive
535,b,0,x,0,x,x,0,b,x,positive,positive
363,0,x,b,b,0,0,x,x,x,positive,positive
219,x,0,b,b,x,b,0,b,x,positive,positive
379,0,0,x,x,b,x,b,0,x,positive,positive
436,0,b,x,0,x,b,x,0,x,positive,positive
537,b,0,x,0,x,0,x,x,b,positive,positive
87,x,x,0,0,x,0,x,0,x,positive,positive
888,b,x,x,b,x,b,0,0,0,negative,positive
788,0,x,b,x,0,0,x,x,0,negative,negative
433,0,b,x,0,x,0,x,x,b,positive,positive
764,0,x,x,0,b,b,0,x,b,negative,negative
344,0,x,b,x,x,x,0,0,b,positive,positive
181,x,0,0,b,x,b,x,0,x,positive,positive
810,0,0,0,x,x,0,x,x,b,negative,positive
35,x,x,x,0,b,x,b,0,0,positive,negative
17,x,x,x,0,x,b,0,0,b,positive,positive
57,x,x,x,b,0,0,0,x,b,positive,negative
161,x,0,0,x,0,b,x,b,x,positive,positive
745,0,x,x,x,0,b,0,x,0,negative,negative
334,0,x,0,0,b,b,x,x,x,positive,negative
876,0,b,b,0,b,x,0,x,x,negative,negative
120,x,0,x,0,x,x,x,0,0,positive,positive
190,x,0,b,x,x,0,x,b,0,positive,positive
466,0,b,0,0,x,b,x,x,x,positive,positive
452,0,b,x,b,0,x,0,x,x,positive,negative
743,0,x,x,x,0,0,b,x,0,negative,negative
611,b,b,0,x,x,x,b,0,b,positive,positive
616,b,b,0,0,b,b,x,x,x,positive,positive
94,x,x,0,0,x,b,b,0,x,positive,positive
122,x,0,x,0,x,0,x,x,0,positive,positive
603,b,b,x,b,x,b,x,0,0,positive,positive
773,0,x,0,x,x,0,x,b,0,negative,positive
127,x,0,x,0,x,b,x,0,b,positive,positive
167,x,0,0,x,b,b,x,0,x,positive,positive
396,0,0,x,b,x,0,x,b,x,positive,positive
711,x,b,x,0,0,0,0,x,x,negative,negative
760,0,x,x,0,0,b,0,x,x,negative,negative
355,0,x,b,0,0,b,x,x,x,positive,negative
887,b,x,x,0,0,0,b,b,x,negative,positive
407,0,0,b,x,x,x,x,0,b,positive,positive
589,b,b,x,0,x,x,x,0,0,positive,positive
239,x,b,0,x,x,x,0,b,0,positive,positive
246,x,b,0,x,0,x,x,0,b,positive,positive
48,x,x,x,0,b,b,b,b,0,positive,negative
513,b,x,0,b,x,b,b,x,0,positive,positive
715,x,b,x,b,b,x,0,0,0,negative,negative
390,0,0,x,0,b,b,x,x,x,positive,negative
925,b,0,b,x,0,b,x,0,x,negative,positive
201,x,0,b,x,b,0,x,x,0,positive,positive
766,0,x,x,b,x,x,0,0,0,negative,negative
308,0,x,x,b,x,0,x,0,b,positive,positive
553,b,0,x,b,x,0,x,b,b,positive,positive
518,b,x,b,0,x,0,0,x,x,positive,positive
61,x,x,x,b,0,0,b,b,b,positive,positive
860,0,b,x,0,0,x,x,x,0,negative,negative
